# Gridmap generated by GridMapGenerator
# height width:
100 100
# minCost maxCost
1 50
# starting position:
26 24
# goal position:
26 34
# Blocked cells list
[
5 73
5 78
5 80
5 81
5 82
5 83
5 85
5 86
5 95
5 96
5 97
5 98
6 60
6 61
6 64
6 65
6 67
6 68
6 69
6 73
6 74
6 78
6 80
6 83
6 86
6 87
6 88
6 89
6 91
6 92
6 93
6 95
6 98
7 60
7 61
7 64
7 65
7 67
7 69
7 70
7 73
7 74
7 77
7 78
7 80
7 81
7 86
7 87
7 91
7 95
7 98
7 99
8 9
8 10
8 11
8 12
8 14
8 60
8 61
8 63
8 64
8 65
8 67
8 70
8 73
8 74
8 75
8 77
8 81
8 82
8 86
8 91
8 92
8 93
8 95
8 96
8 97
8 98
8 99
9 9
9 16
9 60
9 61
9 62
9 63
9 65
9 67
9 70
9 73
9 75
9 76
9 82
9 86
9 91
9 93
9 95
9 96
9 97
10 8
10 19
10 33
10 34
10 35
10 60
10 62
10 63
10 65
10 68
10 70
10 73
10 76
10 79
10 80
10 81
10 82
10 91
10 92
10 93
10 95
10 97
11 21
11 23
11 31
11 32
11 33
11 36
11 60
11 62
11 65
11 68
11 69
11 70
11 73
11 98
12 7
12 24
12 25
12 26
12 30
12 31
12 38
12 60
12 61
12 62
12 65
12 98
13 40
13 98
14 6
14 42
14 43
14 44
15 5
15 44
15 49
15 50
15 51
16 5
16 44
16 45
16 48
16 49
16 52
17 4
17 5
17 45
17 47
17 52
18 4
18 45
18 46
18 52
19 3
19 52
20 17
20 18
20 19
20 20
20 21
20 22
20 23
20 24
20 25
20 34
20 35
20 36
20 37
20 51
21 3
21 16
21 17
21 25
21 32
21 33
21 50
21 51
22 3
22 15
22 16
22 25
22 26
22 31
22 32
22 50
23 14
23 15
23 26
23 31
23 38
23 39
23 50
24 14
24 26
24 27
24 30
24 31
24 39
24 49
25 3
25 14
25 27
25 30
25 39
25 49
26 3
26 14
26 27
26 28
26 29
26 39
26 49
27 14
27 27
27 28
27 39
27 49
28 4
28 14
28 15
28 27
28 39
28 47
28 48
28 49
29 5
29 16
29 27
29 39
29 46
29 47
29 53
30 17
30 27
30 39
30 45
30 46
30 52
30 53
31 6
31 7
31 18
31 28
31 38
31 39
31 45
31 51
31 52
32 7
32 8
32 9
32 18
32 29
32 37
32 38
32 45
32 51
32 54
33 9
33 10
33 19
33 30
33 36
33 37
33 45
33 51
33 54
34 10
34 11
34 12
34 13
34 19
34 30
34 31
34 32
34 33
34 34
34 35
34 36
34 44
34 50
35 13
35 19
35 35
35 36
35 43
35 44
35 50
36 19
36 36
36 42
36 43
36 50
36 55
37 18
37 19
37 37
37 42
37 49
38 17
38 37
38 38
38 42
38 43
38 49
38 56
39 16
39 42
39 43
39 48
40 15
40 39
40 42
40 46
40 47
41 14
41 41
41 46
41 56
42 13
42 25
42 42
42 43
42 44
42 45
42 46
43 12
43 25
44 11
44 24
44 25
44 56
45 24
45 25
45 26
45 75
45 76
46 9
46 19
46 20
46 23
46 24
46 26
46 57
46 73
46 74
46 76
47 8
47 19
47 20
47 23
47 26
47 71
47 72
47 76
48 7
48 14
48 19
48 21
48 22
48 23
48 26
48 57
48 68
48 70
48 77
49 6
49 7
49 14
49 15
49 19
49 22
49 58
49 60
49 62
49 65
49 66
49 77
50 6
50 14
50 15
50 19
50 26
50 58
50 59
51 5
51 15
51 16
51 18
51 26
51 58
51 77
52 5
52 16
52 17
52 18
52 26
52 77
53 4
53 5
53 10
53 11
53 26
53 77
54 4
54 9
54 10
54 17
54 23
54 24
54 25
54 26
54 77
55 4
55 8
55 9
55 17
55 23
56 4
56 7
56 8
56 9
56 16
56 17
56 23
56 33
56 34
56 35
56 77
57 4
57 5
57 6
57 7
57 8
57 9
57 10
57 11
57 12
57 14
57 16
57 17
57 18
57 23
57 31
57 32
57 35
57 77
58 16
58 19
58 20
58 21
58 22
58 23
58 31
58 36
58 77
59 12
59 13
59 14
59 16
59 31
59 37
60 12
60 15
60 16
60 17
60 30
60 37
60 77
61 13
61 16
61 17
61 29
61 38
61 77
62 13
62 14
62 16
62 17
62 28
62 29
62 38
62 77
63 14
63 27
63 28
63 40
63 86
63 87
63 88
64 15
64 25
64 41
64 77
64 82
64 83
64 85
64 86
64 88
65 15
65 20
65 22
65 41
65 77
65 78
65 79
65 81
65 88
66 16
66 17
66 18
66 19
66 42
66 88
67 16
67 17
67 42
68 43
68 89
69 43
69 89
70 44
71 44
71 45
72 45
72 89
73 45
73 46
74 46
75 46
75 47
75 89
76 27
76 29
76 31
76 33
76 35
76 37
76 39
76 40
76 43
76 46
76 47
77 24
77 25
77 26
77 47
78 11
78 12
78 13
78 16
78 18
78 24
78 48
78 90
79 11
79 18
79 19
79 20
79 23
79 49
80 11
80 21
80 23
80 50
81 11
81 22
81 23
81 51
81 90
82 52
82 53
82 91
83 11
83 54
83 91
84 11
84 42
84 43
84 44
84 45
84 47
84 48
84 49
84 55
84 56
84 92
85 16
85 17
85 27
85 28
85 29
85 30
85 31
85 33
85 36
85 39
85 40
85 57
85 58
86 12
86 15
86 16
86 18
86 20
86 21
86 22
86 23
86 27
86 58
86 59
86 60
87 13
87 15
87 20
87 24
87 28
87 60
88 13
88 14
88 16
88 25
88 28
88 60
89 15
89 17
89 25
89 28
89 76
89 77
89 78
89 92
89 93
89 94
89 95
90 16
90 24
90 25
90 27
90 28
90 61
90 76
90 78
90 83
90 84
90 91
91 17
91 19
91 23
91 24
91 25
91 62
91 76
91 79
91 82
91 83
91 91
92 18
92 19
92 20
92 21
92 72
92 76
92 77
92 79
92 82
92 91
93 21
93 22
93 62
93 72
93 73
93 77
93 78
93 82
93 83
93 84
93 85
93 86
93 91
93 92
93 93
93 94
94 73
94 74
94 76
94 77
94 82
94 83
94 91
95 63
95 74
95 75
95 76
95 82
95 83
95 87
95 91
96 63
96 84
96 85
96 86
96 87
96 91
97 64
98 64
]
# Maze:
  1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1   
  1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1   
  1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1   
  1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1   
